127.0.0.1, 2015-11-13 15:16:29, GET, /, HTTP/1.1, 303, 0.006400
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.335009
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003328
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001743
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003367
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002665
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001557
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001459
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000739
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000830
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001074
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002339
127.0.0.1, 2015-11-13 15:16:29, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003552
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000366
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000792
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001030
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000800
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002104
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000610
127.0.0.1, 2015-11-13 15:16:30, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000571
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/default/site, HTTP/1.1, 303, 0.076517
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/default/index, HTTP/1.1, 200, 0.035393
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001860
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.003814
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.005361
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.000964
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001048
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.008607
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000930
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000615
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001305
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000528
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001246
127.0.0.1, 2015-11-13 15:16:33, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000833
127.0.0.1, 2015-11-13 15:16:35, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2015-11-13 15:16:35, POST, /admin/default/index, HTTP/1.1, 303, 0.061475
127.0.0.1, 2015-11-13 15:16:35, GET, /admin/default/site, HTTP/1.1, 200, 0.048160
127.0.0.1, 2015-11-13 15:16:35, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000797
127.0.0.1, 2015-11-13 15:16:35, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.000947
127.0.0.1, 2015-11-13 15:16:35, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001587
127.0.0.1, 2015-11-13 15:16:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.754519
127.0.0.1, 2015-11-13 15:16:39, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.079268
127.0.0.1, 2015-11-13 15:20:12, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.033777
127.0.0.1, 2015-11-13 15:27:44, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.015340
127.0.0.1, 2015-11-13 15:51:44, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.145379
127.0.0.1, 2015-11-13 15:51:46, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.15-51-44.1cf3b6cb-6bb6-4124-aeec-301ea91bff00, HTTP/1.1, 200, 0.078942
127.0.0.1, 2015-11-13 15:51:46, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.000950
127.0.0.1, 2015-11-13 15:53:07, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.050113
127.0.0.1, 2015-11-13 15:53:09, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.15-53-07.722b83c3-63b2-4c3b-ba55-3a77db7edd75, HTTP/1.1, 200, 0.216211
127.0.0.1, 2015-11-13 15:55:33, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.055100
127.0.0.1, 2015-11-13 15:55:35, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.15-55-33.01ca05ca-eb53-49f3-848b-6a8a2ef35c50, HTTP/1.1, 200, 0.055943
127.0.0.1, 2015-11-13 15:56:04, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.048870
127.0.0.1, 2015-11-13 15:56:05, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.15-56-04.28fb39f0-cd04-4405-b675-be66534b18ba, HTTP/1.1, 200, 0.061938
127.0.0.1, 2015-11-13 15:57:02, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.068452
127.0.0.1, 2015-11-13 15:57:04, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.15-57-02.ebe3b0e7-1d1b-4a8f-89a5-dca4dfa62412, HTTP/1.1, 200, 0.068742
127.0.0.1, 2015-11-13 15:57:55, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.024429
127.0.0.1, 2015-11-13 16:02:03, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.064694
127.0.0.1, 2015-11-13 16:02:06, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.16-02-03.cecf2121-4f8c-449c-9f96-9df082637e14, HTTP/1.1, 200, 0.058933
127.0.0.1, 2015-11-13 16:03:29, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.045489
127.0.0.1, 2015-11-13 16:03:31, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-13.16-03-29.9ad31639-f0ad-48f5-833e-10b8dcac438d, HTTP/1.1, 200, 0.067385
127.0.0.1, 2015-11-13 16:04:31, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.044317
127.0.0.1, 2015-11-13 16:04:53, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.092082
127.0.0.1, 2015-11-13 16:05:13, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.044482
127.0.0.1, 2015-11-13 16:05:24, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.048684
127.0.0.1, 2015-11-13 16:05:24, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.042041
127.0.0.1, 2015-11-13 16:06:04, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.024071
127.0.0.1, 2015-11-13 16:06:18, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.015859
127.0.0.1, 2015-11-13 16:06:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
192.168.0.198, 2015-11-13 16:30:26, GET, /addrest/default/index, HTTP/1.1, 404, 0.010812
127.0.0.1, 2015-11-13 20:30:19, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.046782
127.0.0.1, 2015-11-13 20:30:55, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.020061
127.0.0.1, 2015-11-13 20:31:45, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.021329
127.0.0.1, 2015-11-13 20:34:47, GET, /addrest_demo/default/<%=basePath%>, HTTP/1.1, 400, 0.000288
127.0.0.1, 2015-11-13 20:36:44, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.030882
127.0.0.1, 2015-11-13 20:36:49, GET, /addrest_demo/default/<%=basePath%>, HTTP/1.1, 400, 0.000232
127.0.0.1, 2015-11-13 20:38:07, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.023981
127.0.0.1, 2015-11-14 10:07:55, GET, /, HTTP/1.1, 303, 0.002953
127.0.0.1, 2015-11-14 10:07:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.127986
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000587
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000905
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002026
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003114
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001690
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003779
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001718
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000736
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000697
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001595
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002116
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000737
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000486
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001789
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001729
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000272
